spam, Gratis un iphone haz clic aquí
ham, Hola ¿qué tal estás?
ham, ¿Quieres salir a cenar esta noche?
spam, Gana dinero fácil desde casa
spam, Oferta exclusiva solo por hoy
spam, ¡Consigue tu préstamo rápido ahora!
spam, ¡Gana premios increíbles con solo registrarte!
spam, ¡No pierdas esta oportunidad única!
spam, ¡Haz clic aquí para obtener tu descuento especial!
spam, ¡Obtén tu tarjeta de crédito gratis ahora!
ham, Le recordamos que tienes una cita mañana
spam, ¡Gana dinero fácil con este método probado!
spam, ¡Consigue tu suscripción gratuita hoy!
ham, ¿Quieres ir al cine este fin de semana?
spam, ¡Gana dinero rápido con este truco secreto!
ham, ¿Has terminado el proyecto?
spam, ¡Gana dinero sin salir de casa!
ham, ¿Quieres tomar un café mañana?
spam, ¡Gana dinero fácil con este sistema revolucionario!
ham, ¿Cómo estuvo tu fin de semana?
spam, ¡Gana dinero rápido con este método infalible!
ham, Te invitamos a venir a la fiesta el sábado?
spam, ¡Gana dinero sin esfuerzo con este programa increíble!
ham, ¿Has visto el último episodio de la serie?
spam, ¡Gana dinero fácil con este método probado!
spam, ¡Consigue tu descuento exclusivo ahora!
spam, Sólo por tiempo limitado
spam, oferta sólo por tiempo limitado

